model,alpha,n,propagation_rate,ci_low,ci_high
claude,0.0,1,0.0,0.0,0.0
claude,0.1,1,0.0,0.0,0.0
claude,0.25,1,0.0,0.0,0.0
claude,0.5,1,0.0,0.0,0.0
claude,0.75,1,0.0,0.0,0.0
claude,0.9,1,0.0,0.0,0.0
claude,0.95,1,0.0,0.0,0.0
claude,0.99,1,0.0,0.0,0.0
deepseek,0.0,14,0.07142857142857142,0.0,0.21428571428571427
deepseek,0.1,14,0.07142857142857142,0.0,0.21428571428571427
deepseek,0.25,14,0.14285714285714285,0.0,0.35714285714285715
deepseek,0.5,14,0.5,0.21428571428571427,0.7857142857142857
deepseek,0.75,14,0.5,0.2857142857142857,0.7857142857142857
deepseek,0.9,14,0.5,0.21428571428571427,0.7857142857142857
deepseek,0.95,14,0.5,0.2857142857142857,0.7142857142857143
deepseek,0.99,14,0.5,0.2857142857142857,0.7857142857142857
gpt,0.0,230,0.5956521739130435,0.5347826086956522,0.6608695652173913
gpt,0.1,230,0.6043478260869565,0.5391304347826087,0.6608695652173913
gpt,0.25,230,0.5956521739130435,0.5346739130434783,0.6565217391304348
gpt,0.5,230,0.6217391304347826,0.5608695652173913,0.6826086956521739
gpt,0.75,230,0.6565217391304348,0.5956521739130435,0.7218478260869565
gpt,0.9,230,0.6956521739130435,0.6391304347826087,0.7521739130434782
gpt,0.95,230,0.6956521739130435,0.6347826086956522,0.7521739130434782
gpt,0.99,230,0.7043478260869566,0.6434782608695652,0.7608695652173914
